# In-corpus citations over papers/ (task-012). Authoritative file;
# the in-corpus column of citations-2201.02177.txt mirrors it.
# Edge rule D1-A: arXiv id anywhere in the citing paper's stored original/
#   Markdown, OR normalized title (60-char prefix for long titles) inside
#   the bibliography region; manual adjudications live in
#   .claude/skills/import-paper-card/scripts/count_incorpus.py (the
#   generator; rerun it with --write to refresh both files).
# Residual error: citations by venue name only (no arXiv id, no verbatim
#   title) are undetectable and missing here.
# Columns: arxiv-id<TAB>in-corpus-citations<TAB>citing-corpus-ids<TAB>counted-at
2501.04697	30	2410.04489 2502.01739 2504.16041 2504.17243 2504.20571 2505.15624 2506.05718 2506.13688 2506.21551 2506.23286 2509.21519 2510.04930 2511.04760 2601.19791 2601.22450 2601.22637 2602.12039 2603.01968 2603.05228 2603.15492 2603.24746 2604.19740 2605.06152 2605.08237 2605.08464 2606.18465 2606.32000 2607.05104 2608.01833 2608.07436	2026-08-25
2501.12391	0	-	2026-08-25
2502.01628	0	-	2026-08-25
2502.01739	1	2602.08302	2026-08-25
2502.01774	2	2603.01968 2605.06352	2026-08-25
2502.21009	1	2603.01968	2026-08-25
2503.10065	0	-	2026-08-25
2503.10483	2	2507.23346 2607.08350	2026-08-25
2503.23298	0	-	2026-08-25
2504.03162	2	2601.09049 2603.01968	2026-08-25
2504.12700	1	2509.20829	2026-08-25
2504.12916	0	-	2026-08-25
2504.13292	13	2505.15624 2506.05718 2506.12284 2511.04760 2601.09049 2601.19791 2603.01968 2605.06152 2605.08464 2606.05863 2606.32000 2607.06628 2607.11666	2026-08-25
2504.16041	4	2509.21519 2605.15787 2607.20512 2608.07436	2026-08-25
2504.17243	2	2601.09049 2607.04333	2026-08-25
2504.20571	0	-	2026-08-25
2504.20752	7	2506.05718 2509.21016 2509.21519 2510.25791 2601.09049 2603.01968 2603.05228	2026-08-25
2505.11411	5	2603.24746 2605.20441 2606.17120 2607.29503 2608.01833	2026-08-25
2505.15624	4	2601.09049 2606.05863 2606.08985 2607.06639	2026-08-25
2505.18266	2	2605.18022 2606.17399	2026-08-25
2505.20076	1	2603.01968	2026-08-25
2505.20172	6	2511.01938 2601.19791 2603.15492 2605.06152 2605.15787 2606.18465	2026-08-25
2506.04434	4	2602.02859 2604.13123 2605.06152 2608.07436	2026-08-25
